-9.808,-36.323,314.3,1,1,2020-01-14,0100,T,88,6.0NRT,295.1,11.5,N
-9.287,-35.586,343.1,1.1,1,2020-01-14,0100,T,100,6.0NRT,296.1,51.3,N
-9.137,-35.635,320.2,1.1,1,2020-01-14,0100,T,100,6.0NRT,293.8,18.1,N
-8.871,-35.517,326.5,1.1,1,2020-01-14,0100,T,100,6.0NRT,294.3,26,N
-8.567,-35.069,335.5,1.1,1.1,2020-01-14,0100,T,100,6.0NRT,295.8,40.5,N
-8.569,-35.079,354.2,1.1,1.1,2020-01-14,0100,T,100,6.0NRT,296.9,82.3,N
-7.871,-35.204,312.2,1.1,1.1,2020-01-14,0100,T,84,6.0NRT,294.3,11.8,N
-7.465,-35.144,329.1,1.1,1.1,2020-01-14,0100,T,100,6.0NRT,294.7,31.3,N
-7.466,-35.155,314.2,1.1,1.1,2020-01-14,0100,T,89,6.0NRT,294.5,13,N
-7.366,11.375,322.9,1,1,2020-01-14,0045,A,100,6.0NRT,295.1,17.2,N
10.825,23.372,313.2,3.1,1.7,2020-01-14,0040,A,86,6.0NRT,288.5,68.4,N
10.825,23.367,313.2,3.1,1.7,2020-01-14,0040,A,87,6.0NRT,288.6,66.8,N
8.45,14.631,311.5,1,1,2020-01-14,0040,A,83,6.0NRT,287.9,11.9,N
8.397,14.107,311.4,1,1,2020-01-14,0040,A,82,6.0NRT,296.2,8.6,N
8.314,12.787,312.5,1.1,1,2020-01-14,0040,A,85,6.0NRT,289.9,13.2,N
8.312,12.797,362.2,1.1,1,2020-01-14,0040,A,100,6.0NRT,295,104.2,N
5.687,12.422,312.6,1.1,1,2020-01-14,0040,A,85,6.0NRT,292.3,13,N
-34.789,-56.314,343,1,1,2020-01-14,0235,T,100,6.0NRT,292.7,49.1,N
-33.972,-55.483,314.5,1,1,2020-01-14,0235,T,89,6.0NRT,288.2,14.3,N
-33.022,-60.52,328.4,1.4,1.2,2020-01-14,0235,T,100,6.0NRT,294.7,41.8,N
-18.472,-58.939,320.1,1,1,2020-01-14,0235,T,100,6.0NRT,293,15.8,N
-18.601,124.691,356.1,1,1,2020-01-14,0200,T,97,6.0NRT,298.8,64.2,D
-18.602,124.7,342.5,1,1,2020-01-14,0200,T,88,6.0NRT,298.2,35.1,D
-17.612,-62.641,334.2,1.2,1.1,2020-01-14,0240,T,100,6.0NRT,286,44.1,N
-17.613,-62.652,319.4,1.2,1.1,2020-01-14,0240,T,99,6.0NRT,285.6,21.7,N
-2.713,-54.824,311.6,3.1,1.7,2020-01-14,0240,T,83,6.0NRT,286.1,57.8,N
9.658,-11.595,311,1.1,1,2020-01-14,0220,A,81,6.0NRT,294.8,10.8,N
9.649,-11.596,337,1.1,1,2020-01-14,0220,A,100,6.0NRT,296.7,42.3,N
9.647,-11.586,329.2,1.1,1,2020-01-14,0220,A,100,6.0NRT,294.8,30.2,N
8.952,-8.13,317.7,1.1,1,2020-01-14,0220,A,96,6.0NRT,289.5,19.3,N
9.404,-11.611,312.4,1.1,1,2020-01-14,0220,A,85,6.0NRT,288.5,14.1,N
9.247,-12.115,312.8,1.1,1.1,2020-01-14,0220,A,86,6.0NRT,295.3,13,N
8.832,-10.333,338.3,1,1,2020-01-14,0220,A,100,6.0NRT,291.7,41.7,N
8.605,-8.93,316.3,1,1,2020-01-14,0220,A,93,6.0NRT,292.3,15.2,N
8.181,-8.573,317.1,1.1,1,2020-01-14,0220,A,94,6.0NRT,291.9,16,N
8.18,-8.564,323.6,1.1,1,2020-01-14,0220,A,100,6.0NRT,291.9,23.2,N
7.865,-8.257,318,1.1,1.1,2020-01-14,0220,A,96,6.0NRT,290.4,20.3,N
